experiment,group,lifespan,healthspan,sickspan,censored,food,temperature,control,batch_day,batch_device
statzer_main,N2(WT),21.039641,14.706308,6.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),34.706308,34.706308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.122975,33.122975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.456308,33.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.539641,32.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.206308,28.206308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.039641,26.039641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.122975,20.122975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.372975,20.372975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.456308,18.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.122975,16.122975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.706308,16.706308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.872975,15.872975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.622975,14.622975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.456308,14.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.956308,14.956308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),9.289641,9.289641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.456308,15.122975,0.333332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.268808,27.102141,3.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),39.685475,23.102141,16.5833339999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.435475,22.352141,19.0833339999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.852141,29.018808,2.83333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.102141,30.893808,4.208333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.185475,18.352141,11.833334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.518808,17.435475,1.08333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.935475,27.268808,9.66666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.852141,12.018808,8.833333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.602141,18.768808,16.833333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),34.8521,,,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.8521,,,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.102141,33.268808,7.833333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.602141,21.602141,11.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.185475,31.768808,8.41666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),46.185475,30.518808,15.6666669999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.435475,16.268808,7.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.685475,31.018808,2.66666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.685475,35.352141,1.33333399999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.685475,9.310475,7.375,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.268808,32.768808,2.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.102141,23.018808,17.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.518808,33.185475,8.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.768808,32.852141,0.916666999999996,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.018808,16.185475,6.833333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.852141,24.685475,11.166666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.852141,21.518808,3.33333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.435475,30.602141,5.83333399999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.685475,30.518808,10.1666669999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),44.685475,24.435475,20.2499999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.352141,28.935475,4.416666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.018808,28.352141,6.666667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.518808,26.518808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.852141,27.518808,13.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.185475,22.685475,10.4999999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.102141,26.102141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.185475,26.185475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.685475,20.435475,13.2499999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.518808,25.518808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.602141,22.602141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.768808,22.102141,6.666667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.018808,21.102141,4.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.352141,20.352141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.602141,17.602141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.518808,17.185475,4.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.102141,18.102141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.852141,16.852141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.102141,18.268808,0.833332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.685475,15.518808,15.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.018808,17.018808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.352141,16.352141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.268808,15.268808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.435475,16.435475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.685475,15.685475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.852141,11.935475,5.91666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.018808,15.018808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.435475,14.435475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.268808,14.268808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.852141,14.102141,2.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.685475,13.935475,6.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.018808,9.768808,2.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.768808,13.768808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.185475,13.185475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.768808,12.768808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.352141,12.352141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.935475,11.935475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.852141,12.268808,3.58333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.768808,11.852141,5.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.268808,10.435475,0.833332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.768808,10.352141,2.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.602141,9.935475,4.66666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.518808,9.768808,0.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),9.310475,9.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.518808,13.518808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.185475,16.185475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.935475,16.935475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.602141,16.518808,0.0833329999999996,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.852141,16.852141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.602141,16.602141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.435475,12.435475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.852141,12.185475,2.66666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.768808,20.768808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.935475,21.935475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.102141,16.102141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.768808,20.768808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.435475,17.435475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.268808,26.268808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.602141,21.602141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.852141,26.852141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.602141,26.602141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.102141,10.435475,1.66666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.268808,16.268808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.268808,17.268808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.768808,29.768808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.018808,11.102141,2.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.602141,15.185475,5.41666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.185475,28.102141,0.0833340000000006,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.352141,15.602141,5.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.102141,21.768808,11.333333,0,heat-killed OP50,15,True,,
